bookTitle,authorName,average_rating,num_ratings
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,"553,154"
"Shōgun (Asian Saga, #1)",James Clavell,4.41,"181,573"
The Silmarillion,J.R.R. Tolkien,4.01,"293,855"
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,"926,728"
The Velveteen Rabbit,Margery Williams Bianco,4.30,"258,596"
The Iliad / The Odyssey,Homer,4.06,"76,086"
The Trial,Franz Kafka,3.96,"327,132"
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,"421,409"
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.08,"498,196"
"Fallen (Fallen, #1)",Lauren Kate,3.72,"586,855"
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.37,"287,842"
Gone Girl,Gillian Flynn,4.13,"3,099,952"
The Sun Also Rises,Ernest Hemingway,3.79,"445,943"
Man’s Search for Meaning,Viktor E. Frankl,4.37,"717,618"
A Confederacy of Dunces,John Kennedy Toole,3.89,"276,014"
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,"359,025"
The Secret Magdalene,Ki Longfellow,4.15,"4,593"
The Crucible: A Play in Four Acts,Arthur Miller,3.60,"409,351"
Cat’s Cradle,Kurt Vonnegut Jr.,4.16,"403,787"
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.08,"602,366"
The Screwtape Letters,C.S. Lewis,4.26,"448,879"
A Light in the Attic,Shel Silverstein,4.36,"447,866"
The Phantom of the Opera,Gaston Leroux,3.96,"242,524"
The Wind in the Willows,Kenneth Grahame,4.01,"218,947"
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.33,"294,968"
The God of Small Things,Arundhati Roy,3.95,"298,729"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.46,"325,353"
Blindness,José Saramago,4.17,"290,836"
Girl with a Pearl Earring,Tracy Chevalier,3.93,"737,693"
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.01,"413,187"
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,"937,189"
"Uglies (Uglies, #1)",Scott Westerfeld,3.85,"664,821"
The Wind-Up Bird Chronicle,Haruki Murakami,4.15,"284,260"
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,"469,585"
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.09,"3,237,033"
She’s Come Undone,Wally Lamb,3.91,"346,756"
The House of the Spirits,Isabel Allende,4.28,"270,606"
The Lord of the Rings,J.R.R. Tolkien,4.53,"677,622"
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,"754,411"
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,"481,396"
"Marked (House of Night, #1)",P.C. Cast,3.81,"496,745"
Norwegian Wood,Haruki Murakami,4.01,"605,081"
Speak,Laurie Halse Anderson,4.05,"593,492"
The Sound and the Fury,William Faulkner,3.85,"182,429"
The Shack,William Paul Young,3.83,"652,959"
Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07,"349,848"
The Complete Calvin and Hobbes,Bill Watterson,4.81,"40,293"
For Whom the Bell Tolls,Ernest Hemingway,3.98,"294,169"
Island of the Blue Dolphins,Scott O'Dell,3.87,"333,004"
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.60,"642,455"
Roots: The Saga of an American Family,Alex Haley,4.44,"159,864"
Kafka on the Shore,Haruki Murakami,4.13,"470,752"
Stranger in a Strange Land,Robert A. Heinlein,3.92,"313,064"
Paper Towns,John Green,3.71,"1,360,894"
Othello,William Shakespeare,3.89,"390,738"
The Complete Sherlock Holmes,Arthur Conan Doyle,4.50,"198,486"
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,"497,355"
The Idiot,Fyodor Dostoevsky,4.21,"183,413"
Into the Wild,Jon Krakauer,4.01,"1,092,576"
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,"736,189"
"Inkheart (Inkworld, #1)",Cornelia Funke,3.92,"424,392"
"Neverwhere (London Below, #1)",Neil Gaiman,4.17,"531,304"
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.09,"200,706"
"Delirium (Delirium, #1)",Lauren Oliver,3.95,"466,742"
The Things They Carried,Tim O'Brien,4.14,"314,446"
King Lear,William Shakespeare,3.91,"219,434"
Invisible Man,Ralph Ellison,3.91,"188,249"
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.01,"684,033"
White Oleander,Janet Fitch,3.99,"353,666"
Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,"11,395"
Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,"227,675"
Different Seasons,Stephen King,4.35,"205,667"
Midnight Sun [2008 Draft],Stephenie Meyer,4.01,"148,547"
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35,"146,982"
"Foundation (Foundation, #1)",Isaac Asimov,4.17,"540,598"
"The Once and Future King (The Once and Future King, #1-4)",T.H. White,4.07,"108,307"
Never Let Me Go,Kazuo Ishiguro,3.85,"697,429"
I Know This Much Is True,Wally Lamb,4.20,"312,763"
Flow Down Like Silver,Ki Longfellow,4.00,"4,483"
James and the Giant Peach,Roald Dahl,4.03,"474,520"
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,"1,171,303"
The Historian,Elizabeth Kostova,3.80,"265,814"
"Wonder (Wonder, #1)",R.J. Palacio,4.37,"1,088,842"
Candide,Voltaire,3.76,"277,217"
The Time Machine,H.G. Wells,3.90,"520,239"
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.23,"173,934"
Paradise Lost,John Milton,3.84,"166,315"
The Complete Works,William Shakespeare,4.48,"55,292"
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.86,"891,030"
The Thirteenth Tale,Diane Setterfield,3.98,"313,449"
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.41,"592,794"
Heidi,Johanna Spyri,4.03,"199,688"
Leaves of Grass,Walt Whitman,4.12,"103,389"
"The Wise Man’s Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,"558,146"
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.22,"532,323"
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.47,"603,394"
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,"462,044"
"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.48,"695,071"
The Cider House Rules,John Irving,4.16,"185,482"
"Are You There God? It’s Me, Margaret",Judy Blume,3.94,"240,156"
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,"1,633,690"
’Salem’s Lot,Stephen King,4.06,"457,495"
Walden,Henry David Thoreau,3.78,"189,550"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.20,"2,547,108"
Fangirl,Rainbow Rowell,3.95,"746,451"
The Martian,Andy Weir,4.42,"1,125,008"
East of Eden,John Steinbeck,4.41,"540,539"
Sophie’s World,Jostein Gaarder,3.96,"259,927"
Mrs. Dalloway,Virginia Woolf,3.79,"307,677"
"Legend (Legend, #1)",Marie Lu,4.16,"530,148"
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,"346,806"
Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1),Fannie Flagg,4.28,"307,177"
The Awakening,Kate Chopin,3.68,"209,094"
Hamlet,William Shakespeare,4.02,"954,978"
The Complete Maus,Art Spiegelman,4.57,"221,123"
